Dia,mmpm
1,5.2
2,5
3,4.57142857142857
4,4.625
5,4.44444444444445
6,4.9
7,4.6
8,4.7
9,5
10,5.4
11,5.3
12,5.5
13,6.2
14,6.5
15,6.7
16,6.3
17,6.8
18,6.5
19,6.8
20,6.5
21,6.9
22,7.2
23,6.9
24,6.7
25,6.8
26,6.8
27,6.6
28,6.9
29,6.5
30,6.7
31,5.9
32,5.3
33,5.2
34,5.1
35,5.1
36,5.1
37,5.1
38,5.1
39,4.7
40,4.6
41,5.1
42,5.4
43,5.5
44,5.6
45,5.9
46,6
47,5.6
48,5.3
49,5.7
50,5.9
51,5.6
52,5.2
53,5.1
54,5.1
55,4.7
56,4.4
57,4.7
58,4.9
59,4.8
60,4.6
61,4.66666666666667
62,5.44444444444445
63,5.33333333333333
64,4.88888888888889
65,5
66,5
67,5
68,4.77777777777778
69,4.55555555555556
70,4.22222222222222
71,4.2
72,3.8
73,3.7
74,3.7
75,3.5
76,3.6
77,3.2
78,3.3
79,3.5
80,3.5
81,3.3
82,3.1
83,3.2
84,3.2
85,2.9
86,2.8
87,3
88,3
89,2.8
90,2.8
91,2.8
92,2.8
93,2.7
94,2.9
95,3.1
96,2.9
97,2.6
98,2.5
99,2.7
100,2.9
101,2.9
102,2.9
103,2.7
104,2.4
105,2.5
106,2.6
107,2.77777777777778
108,2.55555555555556
109,2.22222222222222
110,2
111,2.22222222222222
112,2.22222222222222
113,2.44444444444444
114,2.44444444444444
115,2.33333333333333
116,2.375
117,2.22222222222222
118,2.375
119,2.25
120,2.25
121,1.875
122,1.75
123,1.5
124,1.625
125,1.5
126,1.44444444444444
127,1.44444444444444
128,1.4
129,1.5
130,1.44444444444444
131,1.5
132,1.375
133,1.625
134,1.57142857142857
135,1.42857142857143
136,1.42857142857143
137,1.57142857142857
138,1.57142857142857
139,1.57142857142857
140,1.5
141,1.66666666666667
142,1.66666666666667
143,1.5
144,1.5
145,1.57142857142857
146,1.57142857142857
147,1.42857142857143
148,1.42857142857143
149,1.28571428571429
150,1.28571428571429
151,1
152,1.14285714285714
153,1.375
154,1.375
155,1.375
156,1.375
157,1.5
158,1.5
159,1.625
160,1.625
161,1.625
162,1.5
163,1.25
164,1.22222222222222
165,1.3
166,1.33333333333333
167,1.22222222222222
168,1.22222222222222
169,1.125
170,1.14285714285714
171,1.14285714285714
172,1.28571428571429
173,1.28571428571429
174,1.28571428571429
175,1.14285714285714
176,1.14285714285714
177,1.14285714285714
178,1.42857142857143
179,1.375
180,1.44444444444444
181,1.66666666666667
182,1.66666666666667
183,1.66666666666667
184,1.88888888888889
185,2
186,2.1
187,2.4
188,2.4
189,2.4
190,2.4
191,2.5
192,2.55555555555556
193,2.75
194,2.71428571428571
195,2.57142857142857
196,2.28571428571429
197,2
198,1.85714285714286
199,2
200,2.14285714285714
201,2
202,2
203,2.11111111111111
204,2
205,2.1
206,2.1
207,2.1
208,2.3
209,2.3
210,2.2
211,2.2
212,2.1
213,2.2
214,2.3
215,2.2
216,2.2
217,2.1
218,1.8
219,1.7
220,1.8
221,1.6
222,1.6
223,1.8
224,1.7
225,1.7
226,1.9
227,2
228,2.1
229,2.2
230,2.1
231,2.2
232,2.3
233,2
234,2.2
235,2.6
236,2.4
237,2.4
238,2.4
239,2.6
240,3.2
241,3.33333333333333
242,3.44444444444444
243,3.33333333333333
244,3.22222222222222
245,2.88888888888889
246,3
247,3.11111111111111
248,3
249,2.77777777777778
250,2.22222222222222
251,2.2
252,2.2
253,2.3
254,2.4
255,2.5
256,2.8
257,2.8
258,3
259,2.88888888888889
260,2.77777777777778
261,2.77777777777778
262,2.66666666666667
263,2.77777777777778
264,2.55555555555556
265,2.44444444444444
266,2.33333333333333
267,2.33333333333333
268,2.2
269,2.3
270,2.2
271,2.6
272,2.7
273,2.9
274,3.2
275,3.2
276,3.1
277,3.3
278,3.4
279,3.5
280,3.77777777777778
281,3.5
282,3.5
283,3.125
284,3
285,3.125
286,3.375
287,3.25
288,3.375
289,3.125
290,3
291,3.1
292,3.2
293,3.4
294,3.6
295,3.8
296,3.7
297,3.8
298,3.9
299,4.1
300,4.33333333333333
301,4.22222222222222
302,4.22222222222222
303,4.11111111111111
304,4.22222222222222
305,4.11111111111111
306,4.22222222222222
307,4.22222222222222
308,4.22222222222222
309,4.44444444444445
310,4.2
311,4.1
312,3.8
313,3.6
314,3.6
315,3.6
316,3.7
317,3.8
318,3.9
319,3.9
320,4.1
321,4.33333333333333
322,4.55555555555556
323,4.88888888888889
324,4.77777777777778
325,5
326,4.88888888888889
327,4.88888888888889
328,4.77777777777778
329,4.88888888888889
330,5.11111111111111
331,4.8
332,4.8
333,4.7
334,4.6
335,4.5
336,4.6
337,4.6
338,4.8
339,4.8
340,4.4
341,4.5
342,4.6
343,4.8
344,4.8
345,4.8
346,4.8
347,4.7
348,4.5
349,4.2
350,4.7
351,4.9
352,4.8
353,4.7
354,4.9
355,4.7
356,4.6
357,4.3
358,4.3
359,4.7
360,4.6
361,4.7
362,4.88888888888889
363,4.875
364,4.71428571428571
365,5

